state,confirmed,deaths,incidenceRate,fatalityRate
Alabama,7150,111,12797.79484,1.552447552
Alabama,21661,311,9703.271007,1.435760122
Alabama,2337,59,9466.904318,2.524604193
Alabama,2665,64,11900.50906,2.401500938
Alabama,6887,139,11909.86753,2.018295339
Alabama,1233,42,12206.71221,3.406326034
Alabama,2220,71,11415.05553,3.198198198
Alabama,14637,324,12884.11602,2.213568354
Alabama,3671,123,11039.27347,3.350585671
Alabama,1864,45,7115.590166,2.41416309
Alabama,4437,115,9986.94517,2.591841334
Alabama,613,25,4869.330368,4.078303426
Alabama,3526,61,14926.76319,1.730005672
Alabama,1581,57,11945.59879,3.605313093
Alabama,1506,43,10100.60362,2.855245684
Alabama,5609,121,10716.05976,2.157247281
Alabama,6349,138,11493.27492,2.173570641
Alabama,1122,30,9298.085688,2.673796791
Alabama,1100,29,10316.04614,2.636363636
Alabama,4218,119,11384.92267,2.821242295
Alabama,1542,57,11196.63085,3.696498054
Alabama,9857,199,11767.02321,2.018869839
Alabama,4905,114,9975.189132,2.324159021
Alabama,3599,154,9675.771588,4.27896638
Alabama,8908,188,12456.47644,2.110462506
Alabama,10241,208,12610.67123,2.031051655
Alabama,3977,77,10856.33172,1.936132763
Alabama,14013,359,13702.23335,2.561906801
Alabama,2150,62,13188.56582,2.88372093
Alabama,4278,82,13640.71169,1.916783544
Alabama,2561,81,9748.391763,3.162827021
Alabama,930,34,11465.91049,3.655913978
Alabama,2254,78,15384.61538,3.460514641
Alabama,1935,43,11246.7306,2.222222222
Alabama,10721,285,10125.42264,2.658334111
Alabama,6870,112,13307.24829,1.630276565
Alabama,80260,1540,12186.95574,1.918764017
Alabama,1452,37,10517.92829,2.548209366
Alabama,9520,245,10266.47543,2.573529412
Alabama,3081,100,9357.915199,3.245699448
Alabama,16135,173,9806.006977,1.072203285
Alabama,10126,156,10237.07223,1.540588584
Alabama,1412,54,14517.78737,3.824362606
Alabama,1623,50,8982.731902,3.080714726
Alabama,35369,514,9484.619572,1.453250021
Alabama,2503,65,13269.3633,2.59688374
Alabama,3188,102,10730.75499,3.199498118
Alabama,12348,228,12759.62552,1.846452867
Alabama,41590,817,10065.10007,1.964414523
Alabama,1790,41,8633.579318,2.290502793
Alabama,24896,600,10992.29091,2.410025707
Alabama,14529,283,12139.97443,1.947828481
Alabama,0,0,0,0
Alabama,1083,26,12137.1736,2.400738689
Alabama,2358,62,11831.40993,2.629346904
Alabama,3134,77,9464.274929,2.456924059
Alabama,1848,43,8133.086876,2.326839827
Alabama,4514,40,7787.995376,0.886132034
Alabama,25437,253,11684.32077,0.994614145
Alabama,10084,247,11265.52864,2.449424831
Alabama,1056,32,8497.626137,3.03030303
Alabama,8387,181,10486.63382,2.158101824
Alabama,4078,153,10102.31129,3.751839137
Alabama,26067,457,12451.09981,1.753174512
Alabama,0,0,0,0
Alabama,7296,278,11485.96527,3.810307018
Alabama,1689,39,10345.46123,2.309058615
Alabama,1272,30,12262.60484,2.358490566
Alabama,2793,73,11820.22091,2.61367705
Alaska,369,3,11057.83638,0.81300813
Alaska,706,1,12531.06141,0.141643059
Alaska,30812,179,10698.61111,0.58094249
Alaska,3903,22,21228.10834,0.563668973
Alaska,0,0,0,0
Alaska,198,0,4925.373134,0
Alaska,437,3,6473.115094,0.686498856
Alaska,245,0,9077.436087,0
Alaska,111,0,5293.276109,0
Alaska,230,2,4678.600488,0.869565217
Alaska,8032,43,8293.322595,0.535358566
Alaska,31,0,1225.296443,0
Alaska,1456,5,4553.699881,0.343406593
Alaska,4578,22,7797.915105,0.480559196
Alaska,660,2,4747.859866,0.303030303
Alaska,1125,6,8655.17772,0.533333333
Alaska,1311,4,15768.58311,0.305110603
Alaska,11758,57,10855.17509,0.484776323
Alaska,378,0,3778.488605,0
Alaska,1087,4,11055.73637,0.367985281
Alaska,621,2,8148.536937,0.322061192
Alaska,174,1,5327.617881,0.574712644
Alaska,156,1,2514.912139,0.641025641
Alaska,370,1,4356.528906,0.27027027
Alaska,21,0,1775.147929,0
Alaska,739,5,10721.02133,0.676589986
Alaska,296,0,,0
Alaska,0,0,0,
Alaska,58,0,2318.145484,0
Alaska,89,2,15371.32988,2.247191011
Alaska,368,4,7036.328872,1.086956522
Arizona,11409,432,15870.74158,3.786484354
Arizona,12084,289,9596.416829,2.391592188
Arizona,17864,330,12450.86286,1.84729064
Arizona,6937,229,12842.01562,3.301138821
Arizona,5625,83,14483.61099,1.475555556
Arizona,574,10,6043.377553,1.742160279
Arizona,2480,80,11749.09987,3.225806452
Arizona,550602,10071,12275.38863,1.829088888
Arizona,23077,735,10876.09164,3.184989383
Arizona,16444,540,14824.56457,3.283872537
Arizona,0,0,,
Arizona,116910,2410,11163.21439,2.061414763
Arizona,52877,892,11425.72533,1.686933828
Arizona,8039,180,17288.91565,2.239084463
Arizona,0,0,,
Arizona,19288,508,8204.203336,2.633761925
Arizona,37244,839,17421.07799,2.252711846
Arkansas,2126,37,12158.29807,1.740357479
Arkansas,2036,35,10357.63341,1.719056974
Arkansas,3204,104,7640.942478,3.245942572
Arkansas,29395,419,10530.52042,1.425412485
Arkansas,3871,80,10341.41911,2.066649445
Arkansas,1412,32,13119.01886,2.266288952
Arkansas,412,3,7939.872808,0.72815534
Arkansas,2815,46,9918.957012,1.63410302
Arkansas,1620,41,16011.06938,2.530864198
Arkansas,2122,41,9507.168459,1.932139491
Arkansas,1791,52,12308.43241,2.903405918
Arkansas,2013,74,8078.173281,3.676105315
Arkansas,960,25,12066.36501,2.604166667
Arkansas,2361,56,10065.22573,2.371876324
Arkansas,2248,33,10783.84342,1.46797153
Arkansas,13607,182,12332.77744,1.337546851
Arkansas,7131,120,11273.06069,1.682793437
Arkansas,6146,97,12816.18184,1.578262284
Arkansas,1963,50,11955.66112,2.547121752
Arkansas,761,15,10857.46897,1.97109067
Arkansas,1367,24,12032.39151,1.755669349
Arkansas,2015,45,11059.88254,2.23325062
Arkansas,12817,162,10171.65713,1.263946321
Arkansas,1703,40,9613.322043,2.348796242
Arkansas,1148,47,9200.929711,4.094076655
Arkansas,10328,261,10391.80569,2.527110767
Arkansas,1695,33,9280.0438,1.946902655
Arkansas,6171,77,13615.00276,1.247771836
Arkansas,2012,20,9344.231841,0.994035785
Arkansas,5189,74,15365.25421,1.42609366
Arkansas,1665,25,12611.7255,1.501501502
Arkansas,3795,124,10033.04693,3.267457181
Arkansas,1686,42,12370.68017,2.491103203
Arkansas,3228,38,19307.37484,1.177199504
Arkansas,8969,168,13421.82449,1.873118519
Arkansas,2936,38,11046.73038,1.294277929
Arkansas,554,9,8363.52657,1.624548736
Arkansas,2131,43,12989.15031,2.017832004
Arkansas,1699,35,19182.56746,2.060035315
Arkansas,3207,48,24623.7715,1.496725912
Arkansas,1254,42,10229.21935,3.349282297
Arkansas,2249,25,10477.03345,1.111605158
Arkansas,7475,121,10196.56522,1.618729097
Arkansas,1463,23,8826.013514,1.572112098
Arkansas,1067,30,6391.517911,2.811621368
Arkansas,4405,38,10183.32293,0.862656073
Arkansas,5894,109,14499.02831,1.84933831
Arkansas,871,17,12998.05999,1.951779564
Arkansas,758,33,8435.343868,4.353562005
Arkansas,830,24,10058.16772,2.891566265
Arkansas,732,26,9441.506514,3.551912568
Arkansas,2343,63,10020.52861,2.688860435
Arkansas,846,10,8091.822095,1.182033097
Arkansas,1852,43,10415.02643,2.321814255
Arkansas,1016,22,9479.380481,2.165354331
Arkansas,3185,77,13537.06222,2.417582418
Arkansas,2010,74,10068.12262,3.68159204
Arkansas,8090,110,12626.42028,1.359703337
Arkansas,910,21,11287.52171,2.307692308
Arkansas,39830,662,10163.02171,1.662063771
Arkansas,2179,47,12133.86791,2.156952731
Arkansas,12153,171,9925.921086,1.407059985
Arkansas,943,14,9172.259508,1.484623542
Arkansas,717,19,9097.830225,2.649930265
Arkansas,15327,283,11990.42456,1.846414824
Arkansas,2800,24,16463.80902,0.857142857
Arkansas,1615,47,9259.259259,2.910216718
Arkansas,3611,44,14447.46739,1.218499031
Arkansas,993,30,7940.188709,3.021148036
Arkansas,2900,0,,0
Arkansas,4051,115,10472.57122,2.838805233
Arkansas,1338,23,8087.035358,1.718983558
Arkansas,31202,352,13045.02335,1.128132812
Arkansas,8133,120,10327.22563,1.475470306
Arkansas,651,14,10300.63291,2.150537634
Arkansas,3448,66,16156.69369,1.914153132
California,88955,1253,5322.411087,1.903209488
California,89,0,7883.082374,0
California,3687,47,9275.005031,1.274749119
California,12429,193,5670.526402,1.552820018
California,2184,56,4757.651672,2.564102564
California,2265,18,10511.90421,0.794701987
California,69693,813,6041.73638,1.166544703
California,1434,8,5156.047749,0.557880056
California,10304,113,5343.20665,1.096661491
California,102507,1706,10259.92367,1.664276586
California,2422,27,8530.271546,1.114781173
California,4323,43,3189.040853,0.994679621
California,28732,736,15855.19962,2.561603787
California,1431,38,7932.81224,2.655485674
California,110147,1389,12235.8093,1.261042062
California,23076,247,15088.26991,1.070376148
California,3523,45,5471.686391,1.277320466
California,5745,24,18791.09018,0.417754569
California,1244170,24364,12393.23378,1.958253293
California,16543,245,10515.04192,1.480988938
California,14153,229,5468.152349,1.618031513
California,458,7,2662.326338,1.528384279
California,4223,49,4868.067643,1.160312574
California,32168,470,11584.55776,1.461079333
California,514,4,5813.821966,0.778210117
California,1294,4,8958.737192,0.309119011
California,43747,385,10078.53735,0.880060347
California,9948,82,7222.093158,0.824286289
California,4823,75,4834.845371,1.555048725
California,272156,5065,8569.97467,1.861064977
California,23042,297,5784.66544,1.288950612
California,723,6,3844.313288,0.829875519
California,300732,4608,12172.69381,1.532261282
California,106473,1709,6860.117341,1.605101763
California,6088,63,9693.032735,1.034822602
California,298545,4758,13694.19082,1.593729589
California,280304,3756,8396.533596,1.339973743
California,37022,550,4199.653111,1.485603155
California,73899,1419,9696.148255,1.920188365
California,21327,261,7533.087729,1.223800816
California,42389,576,5529.675582,1.358843096
California,34498,456,7726.333094,1.321815757
California,119515,2057,6199.386675,1.792243651
California,16182,207,5922.851402,1.27919911
California,12445,230,6910.817414,1.84813178
California,113,0,3760.399334,0
California,2359,33,5418.130871,1.398897838
California,33397,256,7460.632692,0.766535916
California,30336,322,6136.716727,1.061445148
California,62842,1066,11412.12363,1.696317749
California,9543,111,9841.08651,1.16315624
