state3,confirmed,deaths,incidenceRate,fatalityRate
North Dakota,1414,13,9411.608094,0.919377652
North Dakota,1285,30,13597.8836,2.33463035
North Dakota,1157,10,14132.16074,0.864304235
North Dakota,5320,101,16962.12218,1.898496241
North Dakota,1367,18,12963.48981,1.316752012
North Dakota,479,15,16637.72143,3.131524008
North Dakota,158,3,8065.339459,1.898734177
North Dakota,822,11,12086.45787,1.338199513
North Dakota,549,25,13811.32075,4.553734062
North Dakota,1725,30,14975.25827,1.739130435
North Dakota,698,17,13376.77271,2.435530086
North Dakota,321,14,13794.5853,4.361370717
North Dakota,2024,17,12511.59053,0.839920949
North Dakota,2161,28,15244.07449,1.295696437
North Dakota,500,7,12827.09082,1.4
North Dakota,122,2,9277.56654,1.639344262
North Dakota,663,12,15673.75887,1.809954751
North Dakota,32,0,4266.666667,0
North Dakota,4921,51,15627.67951,1.036374721
North Dakota,193,2,10211.64021,1.03626943
North Dakota,3540,81,17098.14529,2.288135593
North Dakota,326,11,14892.64504,3.374233129
North Dakota,1049,18,13053.75809,1.715919924
North Dakota,0,31,,
North Dakota,1912,27,17968.23607,1.412133891
North Dakota,9904,196,14642.00707,1.978998384
North Dakota,458,8,11945.74857,1.746724891
North Dakota,4965,40,13208.65147,0.805639476
Ohio,2418,56,8729.872193,2.274607113
Ohio,11861,241,11588.55312,1.998145182
Ohio,4339,97,8112.706604,2.166397788
Ohio,7088,179,7289.106447,2.525395034
Ohio,5226,60,7999.755078,1.148105626
Ohio,4995,87,10940.51165,1.741741742
Ohio,6121,176,9135.002836,2.842672766
Ohio,4004,61,9219.009026,1.523476523
Ohio,38789,607,10124.13411,1.539096136
Ohio,1951,48,7249.015382,2.460276781
Ohio,3422,59,8800.308602,1.694915254
Ohio,14199,306,10589.70936,2.140995845
Ohio,20052,255,9713.798516,1.246758428
Ohio,3774,66,8992.565764,1.748807631
Ohio,8985,231,8818.939372,2.548692265
Ohio,2677,59,7314.20765,2.203959656
Ohio,4017,111,9680.917723,2.738361962
Ohio,115137,2240,9322.290522,1.896002154
Ohio,5402,129,10568.73985,2.36949278
Ohio,4304,99,11300.44372,2.276951673
Ohio,18746,136,8961.788342,0.714819161
Ohio,8037,164,10821.91043,1.990792584
Ohio,16503,205,10473.17451,1.23007938
Ohio,2845,50,9973.707274,1.757469244
Ohio,128033,1474,9723.365605,1.123928987
Ohio,4308,74,10226.46347,1.648096565
Ohio,2393,50,8003.879858,2.089427497
Ohio,6821,151,7283.580177,2.199091042
Ohio,15216,248,9006.907901,1.616719243
Ohio,3222,53,8288.102894,1.613904407
Ohio,81015,1255,9910.41906,1.52440906
Ohio,6991,132,9225.024082,1.873837791
Ohio,2741,65,8739.040332,2.3713973
Ohio,1134,38,7539.893617,3.262786596
Ohio,2726,67,10094.05317,2.457813646
Ohio,3582,66,8299.158963,1.814628699
Ohio,2194,63,7762.524766,2.825888788
Ohio,2682,102,6101.00091,3.765846383
Ohio,5504,122,9446.332338,2.198401163
Ohio,3160,54,9749.174714,1.708860759
Ohio,5654,160,8655.18561,2.759108596
Ohio,4558,112,7313.629216,2.435278631
Ohio,21085,389,9161.456274,1.816457197
Ohio,5680,103,9552.158485,1.795774648
Ohio,16606,225,9389.241329,1.306756594
Ohio,3865,77,8462.515327,1.966364812
Ohio,25522,506,8237.340761,1.939503174
Ohio,43149,827,10073.35157,1.865628404
Ohio,4427,66,9896.939483,1.468262932
Ohio,22219,607,9716.069843,2.668886989
Ohio,8621,139,13244.12763,1.600742373
Ohio,15536,274,8643.307779,1.73146241
Ohio,1474,40,6434.714279,2.713704206
Ohio,4863,85,11811.42524,1.747892248
Ohio,10807,224,10101.22725,2.054224114
Ohio,1354,44,9916.507983,3.17577548
Ohio,52297,1042,9836.050157,1.967608085
Ohio,1092,24,7526.88172,2.197802198
Ohio,2908,40,8231.431159,1.375515818
Ohio,8876,136,10295.19225,1.520955385
Ohio,1352,39,9373.266778,2.884615385
Ohio,3719,81,9177.051203,2.17800484
Ohio,1760,42,9425.87832,2.329545455
Ohio,2971,50,8222.173023,1.682935039
Ohio,8635,122,14771.54147,1.412854661
Ohio,2420,35,8713.812473,1.446280992
Ohio,13179,215,8111.851095,1.608619774
Ohio,3839,105,9390.440781,2.656941912
Ohio,4331,104,12790.52597,2.378203648
Ohio,11561,212,9542.400581,1.825101635
Ohio,6918,162,9023.556727,2.298352125
Ohio,5438,126,9292.867152,2.280250092
Ohio,6510,107,8643.811244,1.58218126
Ohio,5335,128,9668.708543,2.324273664
Ohio,4735,95,9744.803458,1.985216473
Ohio,33143,932,8942.920514,2.778867332
Ohio,48187,1006,8906.810003,2.050345529
Ohio,16453,485,8310.687262,2.899167325
Ohio,8599,251,9348.060052,2.872427026
Ohio,0,3,,
Ohio,5821,49,9868.108768,0.841779763
Ohio,2465,64,8717.948718,2.596348884
Ohio,851,17,6503.630111,1.997649824
Ohio,24527,305,10454.72758,1.235373262
Ohio,5279,110,8811.403582,2.064784997
Ohio,9078,223,7845.475758,2.423441287
Ohio,3463,78,9438.024638,2.223505631
Ohio,13260,199,10136.29727,1.463046757
Ohio,2344,56,10766.12162,2.389078498
Oklahoma,3192,43,14382.26548,1.347117794
Oklahoma,1154,7,20238.5128,0.606585789
Oklahoma,1877,26,13642.97136,1.385189132
Oklahoma,476,6,8962.530597,1.260504202
Oklahoma,2898,58,13257.69706,2.001380262
Oklahoma,1047,20,11104.04073,1.910219675
Oklahoma,6126,78,12763.82957,1.273261508
Oklahoma,3978,96,13830.7489,2.413273002
Oklahoma,17370,185,11712.27058,1.065054692
Oklahoma,6170,125,12824.50999,2.025931929
Oklahoma,5641,78,11593.39869,1.382733558
Oklahoma,1620,27,11041.43948,1.666666667
Oklahoma,214,2,10014.03837,0.934579439
Oklahoma,31263,433,11007.55597,1.38502383
Oklahoma,700,15,12738.8535,2.142857143
Oklahoma,13963,195,11563.65684,1.39654802
Oklahoma,695,16,12266.14896,2.302158273
Oklahoma,1994,18,14099.84444,0.902708124
Oklahoma,7008,164,9798.383714,2.340182648
Oklahoma,4083,104,14077.85402,2.547146706
Oklahoma,4675,94,10869.81795,2.010695187
Oklahoma,552,14,11286.03558,2.536231884
Oklahoma,357,6,9251.101322,1.680672269
Oklahoma,7813,139,12796.44916,1.779086138
Oklahoma,3620,79,13063.40442,2.182320442
Oklahoma,5980,129,10710.31988,2.157190635
Oklahoma,549,7,12670.2054,1.275045537
Oklahoma,584,22,10224.08964,3.767123288
Oklahoma,327,6,12325.66905,1.834862385
Oklahoma,420,8,11388.28633,1.904761905
Oklahoma,1254,17,9931.100024,1.355661882
Oklahoma,1242,29,9353.113939,2.334943639
Oklahoma,3130,56,12759.88585,1.78913738
Oklahoma,704,16,11729.42353,2.272727273
Oklahoma,1381,37,12458.27695,2.679217958
Oklahoma,5335,128,12253.66347,2.399250234
Oklahoma,2058,41,13054.23406,1.992225462
Oklahoma,819,26,9405.144695,3.174603175
Oklahoma,842,13,8358.97945,1.543942993
Oklahoma,5609,67,11251.07817,1.194508825
Oklahoma,3252,72,9324.196462,2.21402214
Oklahoma,4302,64,8960.446564,1.487680149
Oklahoma,1504,22,14668.8774,1.462765957
Oklahoma,956,24,12531.13121,2.510460251
Oklahoma,2047,23,12090.24866,1.123595506
Oklahoma,4252,72,10345.49878,1.69332079
Oklahoma,5322,73,13149.18219,1.371664788
Oklahoma,3981,93,12125.3655,2.336096458
Oklahoma,2013,61,10272.50459,3.03030303
Oklahoma,2024,44,14382.15022,2.173913043
Oklahoma,9364,176,13771.19579,1.879538659
Oklahoma,1380,20,12397.80792,1.449275362
Oklahoma,1151,20,11423.1838,1.737619461
Oklahoma,1795,32,14967.06412,1.782729805
Oklahoma,87426,1301,10963.41515,1.488115664
Oklahoma,3818,81,9925.906668,2.121529597
Oklahoma,4769,78,10154.80272,1.635563011
Oklahoma,3935,69,12641.75796,1.753494282
Oklahoma,0,0,,
Oklahoma,1790,52,10930.63019,2.905027933
Oklahoma,8706,76,10645.11396,0.872961176
