state,confirmed,deaths,incidenceRate,fatalityRate
Alabama,7211,113,12906.97883,1.56705034
Alabama,21765,313,9749.858892,1.438088674
Alabama,2345,59,9499.311351,2.515991471
Alabama,2671,64,11927.30196,2.396106327
Alabama,6921,139,11968.66461,2.008380292
Alabama,1243,42,12305.71231,3.378921963
Alabama,2230,71,11466.4747,3.183856502
Alabama,14692,325,12932.52938,2.212088211
Alabama,3716,124,11174.59554,3.336921421
Alabama,1872,45,7146.12918,2.403846154
Alabama,4458,116,10034.21266,2.602063706
Alabama,617,25,4901.104139,4.051863857
Alabama,3525,61,14922.52985,1.730496454
Alabama,1593,59,12036.26747,3.703703704
Alabama,1524,43,10221.32797,2.82152231
Alabama,5617,125,10731.34385,2.225387217
Alabama,6392,139,11571.11566,2.174593242
Alabama,1130,30,9364.382199,2.654867257
Alabama,1107,29,10381.69371,2.619692864
Alabama,4256,121,11487.48954,2.843045113
Alabama,1552,57,11269.24194,3.672680412
Alabama,9919,200,11841.03715,2.016332292
Alabama,4929,114,10023.9974,2.312842362
Alabama,3603,154,9686.525433,4.274215931
Alabama,8953,188,12519.40207,2.099854797
Alabama,10300,211,12683.32328,2.048543689
Alabama,3997,80,10910.92731,2.001501126
Alabama,14130,361,13816.63864,2.554847841
Alabama,2163,62,13268.31064,2.866389274
Alabama,4306,83,13729.99171,1.927542963
Alabama,2569,81,9778.843592,3.152977812
Alabama,934,34,11515.22624,3.640256959
Alabama,2262,78,15439.21917,3.448275862
Alabama,1938,43,11264.16739,2.21878225
Alabama,10739,287,10142.4227,2.672502095
Alabama,6901,113,13367.29555,1.637443849
Alabama,80745,1560,12260.59981,1.932008174
Alabama,1458,37,10561.3908,2.537722908
Alabama,9578,248,10329.02328,2.58926707
Alabama,3118,100,9470.295225,3.207184092
Alabama,16227,174,9861.919753,1.072286929
Alabama,10178,157,10289.64262,1.542542739
Alabama,1420,54,14600.04113,3.802816901
Alabama,1631,51,9027.009077,3.126916002
Alabama,35604,522,9547.637627,1.466127401
Alabama,2505,65,13279.96607,2.594810379
Alabama,3237,105,10895.68818,3.243744208
Alabama,12439,228,12853.65904,1.83294477
Alabama,41913,826,10143.26856,1.970748932
Alabama,1790,41,8633.579318,2.290502793
Alabama,25065,609,11066.90921,2.429682825
Alabama,14604,284,12202.64207,1.944672692
Alabama,0,0,,
Alabama,1087,26,12182.00157,2.391904324
Alabama,2364,62,11861.5153,2.622673435
Alabama,3139,78,9479.374283,2.484867792
Alabama,1865,43,8207.904234,2.305630027
Alabama,4539,41,7831.127827,0.903282661
Alabama,25554,254,11738.06396,0.993973546
Alabama,10142,250,11330.32443,2.464997042
Alabama,1057,32,8505.673131,3.02743614
Alabama,8439,183,10551.6517,2.168503377
Alabama,4114,155,10191.49305,3.767622752
Alabama,26119,457,12475.938,1.749684138
Alabama,0,0,,
Alabama,7316,279,11517.45092,3.813559322
Alabama,1704,39,10437.33921,2.288732394
Alabama,1270,30,12243.32401,2.362204724
Alabama,2834,73,11993.73651,2.575864502
Alaska,369,3,11057.83638,0.81300813
Alaska,712,1,12637.55769,0.140449438
Alaska,30887,179,10724.65278,0.579531842
Alaska,3906,22,21244.42511,0.563236047
Alaska,0,0,0,
Alaska,201,0,5000,0
Alaska,437,3,6473.115094,0.686498856
Alaska,248,0,9188.588366,0
Alaska,112,0,5340.963281,0
Alaska,232,2,4719.283971,0.862068966
Alaska,8057,43,8319.135975,0.533697406
Alaska,31,0,1225.296443,0
Alaska,1481,5,4631.888409,0.337609723
Alaska,4594,22,7825.168631,0.478885503
Alaska,669,2,4812.60341,0.298953662
Alaska,1127,6,8670.564702,0.532386868
Alaska,1319,4,15864.80635,0.303260045
Alaska,11801,57,10894.87338,0.483009914
Alaska,387,0,3868.452619,0
Alaska,1088,4,11065.90724,0.367647059
Alaska,623,2,8174.780213,0.321027287
Alaska,174,1,5327.617881,0.574712644
Alaska,171,1,2756.730614,0.584795322
Alaska,372,1,4380.077711,0.268817204
Alaska,21,0,1775.147929,0
Alaska,760,5,11025.67822,0.657894737
Alaska,291,0,,0
Alaska,0,0,0,
Alaska,61,0,2438.04956,0
Alaska,89,2,15371.32988,2.247191011
Alaska,368,4,7036.328872,1.086956522
Arizona,11432,433,15902.73624,3.787613716
Arizona,12103,292,9611.505535,2.412624969
Arizona,17880,331,12462.01455,1.851230425
Arizona,6984,229,12929.02366,3.278923253
Arizona,5619,83,14468.1618,1.477131162
Arizona,577,10,6074.96315,1.733102253
Arizona,2481,80,11753.83741,3.224506247
Arizona,553711,10137,12344.70218,1.830738418
Arizona,23245,743,10955.26932,3.19638632
Arizona,16470,543,14848.00404,3.296903461
Arizona,0,0,,
Arizona,116855,2416,11157.96268,2.067519576
Arizona,53326,905,11522.74579,1.697108352
Arizona,8061,180,17336.22952,2.232973576
Arizona,0,0,,
Arizona,19396,515,8250.14143,2.655186636
Arizona,37272,845,17434.17514,2.267117407
Arkansas,2148,37,12284.113,1.722532588
Arkansas,2046,35,10408.50588,1.710654936
Arkansas,3217,104,7671.945054,3.232825614
Arkansas,29520,420,10575.30065,1.422764228
Arkansas,3910,80,10445.60804,2.046035806
Arkansas,1440,32,13379.16938,2.222222222
Arkansas,417,3,8036.230488,0.71942446
Arkansas,2828,46,9964.763918,1.626591231
Arkansas,1624,41,16050.60289,2.524630542
Arkansas,2135,41,9565.412186,1.920374707
Arkansas,1794,52,12329.04955,2.898550725
Arkansas,2032,74,8154.420322,3.641732283
Arkansas,971,25,12204.62544,2.574665294
Arkansas,2371,56,10107.85693,2.361872628
Arkansas,2250,33,10793.43759,1.466666667
Arkansas,13670,183,12389.87782,1.338697879
Arkansas,7157,119,11314.16286,1.662707838
Arkansas,6165,97,12855.80231,1.573398216
Arkansas,1971,50,12004.38516,2.536783359
Arkansas,765,15,10914.53845,1.960784314
Arkansas,1371,23,12067.59968,1.677607586
Arkansas,2027,45,11125.74785,2.2200296
Arkansas,12879,164,10220.86075,1.273390791
Arkansas,1709,40,9647.191645,2.340550029
Arkansas,1153,47,9241.003446,4.076322637
Arkansas,10375,263,10439.09605,2.534939759
Arkansas,1715,33,9389.542842,1.924198251
Arkansas,6195,77,13667.95367,1.242937853
Arkansas,2022,20,9390.674345,0.989119683
Arkansas,5221,74,15460.01007,1.417352998
Arkansas,1668,25,12634.44933,1.498800959
Arkansas,3834,124,10136.15334,3.234220136
Arkansas,1693,42,12422.04124,2.480803308
Arkansas,3234,38,19343.26216,1.175015461
Arkansas,9028,170,13510.11613,1.883030572
Arkansas,2951,38,11103.16803,1.287699085
Arkansas,556,9,8393.719807,1.618705036
Arkansas,2136,43,13019.62697,2.013108614
Arkansas,1704,37,19239.01998,2.171361502
Arkansas,3217,48,24700.55283,1.49207336
Arkansas,1256,42,10245.53389,3.343949045
Arkansas,2265,25,10551.56992,1.103752759
Arkansas,7544,123,10290.68736,1.630434783
Arkansas,1467,23,8850.144788,1.567825494
Arkansas,1077,30,6451.419672,2.78551532
Arkansas,4423,38,10224.93469,0.859145376
Arkansas,5912,110,14543.30767,1.860622463
Arkansas,873,17,13027.90628,1.947308133
Arkansas,760,33,8457.600712,4.342105263
Arkansas,833,24,10094.52254,2.881152461
Arkansas,735,26,9480.201212,3.537414966
Arkansas,2376,63,10161.66282,2.651515152
Arkansas,847,10,8101.386896,1.180637544
Arkansas,1871,43,10521.87605,2.298236237
Arkansas,1018,22,9498.040679,2.161100196
Arkansas,3188,77,13549.81299,2.415307403
Arkansas,2013,74,10083.14967,3.676105315
Arkansas,8104,110,12648.2707,1.357354393
Arkansas,911,21,11299.92558,2.305159166
Arkansas,40106,669,10233.44586,1.668079589
Arkansas,2193,47,12211.8276,2.143182855
Arkansas,12247,173,10002.69526,1.412590839
Arkansas,947,14,9211.166229,1.478352693
Arkansas,722,18,9161.27395,2.493074792
Arkansas,15401,284,12048.3153,1.844036102
Arkansas,2815,24,16552.008,0.852575488
Arkansas,1623,47,9305.125559,2.895871842
Arkansas,3619,44,14479.47507,1.215805471
Arkansas,997,30,7972.173357,3.009027081
Arkansas,2917,0,,0
Arkansas,4081,115,10550.12667,2.81793678
Arkansas,1364,24,8244.182532,1.759530792
Arkansas,31300,352,13085.99548,1.124600639
Arkansas,8191,122,10400.87362,1.489439629
Arkansas,651,14,10300.63291,2.150537634
Arkansas,3450,65,16166.06532,1.884057971
California,89304,1282,5343.292673,1.435546
California,89,0,7883.082374,0
California,3706,47,9322.801368,1.268213708
California,12555,194,5728.011826,1.545201115
California,2199,56,4790.327851,2.546612096
California,2277,18,10567.59642,0.790513834
California,70168,805,6082.914473,1.147246608
California,1448,8,5206.385733,0.552486188
California,10336,115,5359.800459,1.112616099
California,102690,1717,10278.24014,1.672022592
California,2424,27,8537.315536,1.113861386
California,4408,46,3251.744641,1.043557169
California,28754,739,15867.3399,2.570077207
California,1434,38,7949.442874,2.649930265
California,110546,1400,12280.13268,1.26644112
California,23170,247,15149.73192,1.066033664
California,3541,45,5499.642779,1.27082745
California,5771,24,18876.13254,0.415872466
California,1245786,24432,12409.33083,1.961171501
California,16580,245,10538.55981,1.477683957
California,14159,229,5470.470509,1.617345858
California,461,7,2679.765157,1.518438178
California,4268,50,4919.94144,1.171508903
California,32241,474,11610.84702,1.470177724
California,526,4,5949.553218,0.760456274
California,1294,4,8958.737192,0.309119011
California,43788,419,10087.98303,0.956883164
California,9971,80,7238.7908,0.802326748
California,4871,75,4882.96326,1.539724902
California,272617,5092,8584.491191,1.867821889
California,23305,297,5850.691263,1.274404634
California,733,6,3897.484979,0.818553888
California,301284,4617,12195.03705,1.532441152
California,107117,1716,6901.610636,1.601986613
California,6094,63,9702.585658,1.033803741
California,298843,4782,13707.86001,1.600171327
California,281051,3766,8418.910054,1.339970326
California,37143,552,4213.37895,1.48614813
California,74350,1429,9755.323113,1.921990585
California,21399,261,7558.51945,1.219683163
California,42502,579,5544.416513,1.566985083
California,34557,460,7739.547009,1.331134068
California,119793,2075,6213.806869,1.807284232
California,16198,208,5928.707638,1.284109149
California,12559,232,6974.122612,1.847280834
California,113,0,3760.399334,0
California,2385,37,5477.847447,1.551362683
California,33559,264,7496.822245,0.786674216
California,30616,323,6193.358364,1.05500392
California,63142,1068,11466.60371,1.691425675
California,9612,111,9912.241804,1.154806492
California,5711,63,8774.814086,1.103134302
California,416,5,3386.243386,1.201923077
California,49812,849,10684.79928,1.704408576
California,4183,69,7678.328867,1.649533827
California,28,0,,0
California,81546,1026,9638.938731,1.258185564
California,14102,212,6395.464853,1.503332861
California,6443,50,8190.115422,0.776036008
Colorado,60189,710,11632.50042,1.179617538
Colorado,1706,36,10509.45605,2.110199297
Colorado,62005,749,9443.488326,1.207967099
Colorado,1003,2,7149.476085,0.199401795
Colorado,318,4,8880.201061,1.257861635
Colorado,1544,22,27685.13538,1.424870466
Colorado,23811,235,7299.599014,0.98693881
Colorado,4927,77,6992.123749,1.56281713
Colorado,1744,25,8567.498526,1.433486239
Colorado,130,6,7099.945385,4.615384615
Colorado,469,3,4835.051546,0.639658849
Colorado,697,17,8494.820232,2.43902439
Colorado,249,3,6405.968613,1.204819277
Colorado,2210,16,36462.62993,0.7239819
Colorado,214,1,4222.573007,0.46728972
Colorado,2824,64,9062.319492,2.266288952
Colorado,73619,829,10123.47173,1.126067999
Colorado,116,1,5644.768856,0.862068966
Colorado,29956,244,8530.730107,0.814527974
Colorado,6334,23,11489.83257,0.363119672
Colorado,71698,851,9952.484929,1.186922927
Colorado,1837,13,6872.685099,0.707675558
Colorado,6493,62,13572.60812,0.95487448
Colorado,6025,43,10031.46801,0.713692946
Colorado,275,3,4404.933526,1.090909091
Colorado,1497,6,9514.427355,0.400801603
Colorado,1368,6,7834.154163,0.438596491
Colorado,19,0,2317.073171,0
Colorado,430,17,6234.594751,3.953488372
Colorado,65,0,4669.54023,0
Colorado,48351,792,8295.175173,1.638021964
Colorado,95,3,6756.756757,3.157894737
Colorado,635,11,8947.442581,1.732283465
Colorado,4060,41,7221.500863,1.009852217
Colorado,825,0,10151.34736,0
Colorado,27253,244,7636.053898,0.895314277
Colorado,1158,14,7982.903626,1.208981002
Colorado,1031,4,18084.54657,0.387972842
Colorado,4027,68,17970.4583,1.688601937
Colorado,16355,238,10605.6676,1.455212473
Colorado,93,1,12093.62809,1.075268817
Colorado,902,22,6790.634646,2.43902439
Colorado,2032,25,7760.760799,1.230314961
Colorado,3652,62,8541.091726,1.69769989
Colorado,2718,95,9350.48851,3.495217071
Colorado,2068,67,11314.14816,3.239845261
Colorado,289,3,5836.025848,1.038062284
Colorado,0,0,,
Colorado,825,5,4377.81905,0.606060606
Colorado,396,13,9284.876905,3.282828283
Colorado,2603,4,14650.75702,0.153668844
Colorado,1270,22,10433.78245,1.732283465
Colorado,19264,412,11437.79984,2.138704319
Colorado,589,5,9313.72549,0.848896435
Colorado,877,16,7783.793379,1.824401368
Colorado,2262,21,8822.841095,0.928381963
Colorado,419,5,6140.093787,1.193317422
Colorado,49,0,6730.769231,0
Colorado,909,0,11113.8281,0
Colorado,236,3,10498.22064,1.271186441
Colorado,3740,8,12060.23669,0.213903743
Colorado,1872,17,7373.562313,0.908119658
Colorado,73,0,,0
Colorado,470,13,9576.202119,2.765957447
Colorado,32956,347,10156.18259,1.052919044
Colorado,958,17,9561.832518,1.774530271
Connecticut,100247,2201,10626.90548,2.195576925
Connecticut,84266,2431,9449.8273,2.884912064
Connecticut,14632,298,8113.878214,2.036632039
Connecticut,12817,371,7890.492255,2.894593119
Connecticut,92127,2126,10778.15098,2.307683958
