state,confirmed,deaths,incidenceRate,fatalityRate
Alabama,7206,113,12898.02932,1.568137663
Alabama,21724,312,9731.492515,1.436199595
Alabama,2343,59,9491.209592,2.518139138
Alabama,2667,64,11909.44003,2.399700037
Alabama,6916,139,11960.01798,2.009832273
Alabama,1240,42,12276.01228,3.387096774
Alabama,2225,71,11440.76512,3.191011236
Alabama,14681,325,12922.84671,2.213745658
Alabama,3704,124,11138.50965,3.347732181
Alabama,1869,45,7134.67705,2.407704655
Alabama,4458,115,10034.21266,2.579632122
Alabama,614,25,4877.27381,4.071661238
Alabama,3527,61,14930.99653,1.729515169
Alabama,1592,59,12028.71175,3.706030151
Alabama,1518,43,10181.08652,2.832674572
Alabama,5615,124,10727.52283,2.208370436
Alabama,6372,139,11534.91066,2.181418707
Alabama,1129,30,9356.095135,2.657218778
Alabama,1103,29,10344.18081,2.62919311
Alabama,4245,120,11457.79913,2.826855124
Alabama,1548,57,11240.1975,3.682170543
Alabama,9894,199,11811.19282,2.011319992
Alabama,4915,114,9995.525909,2.319430315
Alabama,3601,154,9681.148511,4.276589836
Alabama,8951,188,12516.60537,2.100323986
Alabama,10296,210,12678.39771,2.03962704
Alabama,3990,79,10891.81885,1.979949875
Alabama,14125,361,13811.74952,2.555752212
Alabama,2160,62,13249.90799,2.87037037
Alabama,4296,83,13698.10599,1.932029795
Alabama,2566,81,9767.424156,3.156664069
Alabama,932,34,11490.56836,3.64806867
Alabama,2260,78,15425.56822,3.451327434
Alabama,1938,43,11264.16739,2.21878225
Alabama,10733,287,10136.75601,2.673996087
Alabama,6883,112,13332.4294,1.627197443
Alabama,80681,1549,12250.88183,1.919906793
Alabama,1459,37,10568.63455,2.53598355
Alabama,9552,246,10300.98459,2.575376884
Alabama,3105,100,9430.810351,3.220611916
Alabama,16201,173,9846.118316,1.067835319
Alabama,10152,156,10263.35743,1.536643026
Alabama,1418,54,14579.47769,3.808180536
Alabama,1630,51,9021.47443,3.128834356
Alabama,35514,519,9523.503053,1.461395506
Alabama,2503,65,13269.3633,2.59688374
Alabama,3215,104,10821.63654,3.234836703
Alabama,12397,228,12810.25895,1.839154634
Alabama,41808,822,10117.85775,1.966130884
Alabama,1789,41,8628.756089,2.291783119
Alabama,25057,607,11063.37699,2.422476753
Alabama,14573,284,12176.73944,1.948809442
Alabama,0,0,,
Alabama,1087,26,12182.00157,2.391904324
Alabama,2362,62,11851.48018,2.624894157
Alabama,3139,78,9479.374283,2.484867792
Alabama,1859,43,8181.498108,2.313071544
Alabama,4531,41,7817.325443,0.90487751
Alabama,25528,254,11726.12103,0.994985898
Alabama,10125,249,11311.33256,2.459259259
Alabama,1057,32,8505.673131,3.02743614
Alabama,8421,182,10529.14552,2.161263508
Alabama,4109,155,10179.1067,3.77220735
Alabama,26100,457,12466.86251,1.750957854
Alabama,0,0,,
Alabama,7313,279,11512.72807,3.815123752
Alabama,1702,39,10425.08882,2.291421857
Alabama,1270,30,12243.32401,2.362204724
Alabama,2831,73,11981.04025,2.578594136
Alaska,369,3,11057.83638,0.81300813
Alaska,711,1,12619.80831,0.140646976
Alaska,30866,179,10717.36111,0.579926132
Alaska,3906,22,21244.42511,0.563236047
Alaska,0,0,0,
Alaska,200,0,4975.124378,0
Alaska,437,3,6473.115094,0.686498856
Alaska,245,0,9077.436087,0
Alaska,112,0,5340.963281,0
Alaska,230,2,4678.600488,0.869565217
Alaska,8049,43,8310.875693,0.534227854
Alaska,31,0,1225.296443,0
Alaska,1476,5,4616.250704,0.338753388
Alaska,4592,22,7821.76194,0.479094077
Alaska,667,2,4798.215956,0.299850075
Alaska,1127,6,8670.564702,0.532386868
Alaska,1317,4,15840.75054,0.303720577
Alaska,11793,57,10887.48765,0.483337573
Alaska,382,0,3818.472611,0
Alaska,1088,4,11065.90724,0.367647059
Alaska,623,2,8174.780213,0.321027287
Alaska,174,1,5327.617881,0.574712644
Alaska,169,1,2724.488151,0.591715976
Alaska,372,1,4380.077711,0.268817204
Alaska,21,0,1775.147929,0
Alaska,753,5,10924.12592,0.664010624
Alaska,292,0,,0
Alaska,0,0,0,
Alaska,61,0,2438.04956,0
Alaska,89,2,15371.32988,2.247191011
Alaska,368,4,7036.328872,1.086956522
Arizona,11419,433,15884.6523,3.791925738
Arizona,12097,290,9606.740681,2.397288584
Arizona,17876,331,12459.22663,1.851644663
Arizona,6952,229,12869.78415,3.29401611
Arizona,5633,83,14504.2099,1.473459968
Arizona,577,10,6074.96315,1.733102253
Arizona,2479,80,11744.36233,3.227107705
Arizona,552781,10112,12323.96831,1.829295869
Arizona,23179,740,10924.1638,3.192544976
Arizona,16463,542,14841.69341,3.292231064
Arizona,0,0,,
Arizona,116900,2413,11162.25953,2.064157399
Arizona,53175,903,11490.11753,1.698166432
Arizona,8053,180,17319.02447,2.235191854
Arizona,0,0,,
Arizona,19354,511,8232.276615,2.640281079
Arizona,37257,843,17427.15881,2.26266205
Arkansas,2139,37,12232.64326,1.729780271
Arkansas,2044,35,10398.33138,1.712328767
Arkansas,3211,104,7657.636173,3.238866397
Arkansas,29474,419,10558.82153,1.421591912
Arkansas,3894,80,10402.86386,2.054442732
Arkansas,1435,32,13332.71393,2.229965157
Arkansas,412,3,7939.872808,0.72815534
Arkansas,2819,46,9933.051445,1.631784321
Arkansas,1623,41,16040.71951,2.526186075
Arkansas,2131,41,9547.491039,1.923979352
Arkansas,1792,52,12315.30479,2.901785714
Arkansas,2027,74,8134.355311,3.650715343
Arkansas,969,25,12179.48718,2.57997936
Arkansas,2368,56,10095.06757,2.364864865
Arkansas,2250,33,10793.43759,1.466666667
Arkansas,13647,183,12369.03165,1.340954056
Arkansas,7151,119,11304.67774,1.664102923
Arkansas,6158,97,12841.2053,1.575186749
Arkansas,1965,50,11967.84213,2.544529262
Arkansas,765,15,10914.53845,1.960784314
Arkansas,1371,23,12067.59968,1.677607586
Arkansas,2019,45,11081.83764,2.228826152
Arkansas,12855,164,10201.81418,1.275768184
Arkansas,1705,40,9624.611911,2.346041056
Arkansas,1152,47,9232.988699,4.079861111
Arkansas,10360,263,10424.00338,2.538610039
Arkansas,1710,33,9362.168081,1.929824561
Arkansas,6188,77,13652.50965,1.244343891
Arkansas,2017,20,9367.453093,0.991571641
Arkansas,5212,74,15433.35998,1.41980046
Arkansas,1667,25,12626.87472,1.49970006
Arkansas,3811,124,10075.34699,3.253739176
Arkansas,1689,42,12392.69205,2.486678508
Arkansas,3231,38,19325.3185,1.176106469
Arkansas,9003,169,13472.70442,1.87715206
Arkansas,2943,38,11073.06795,1.291199456
Arkansas,555,9,8378.623188,1.621621622
Arkansas,2135,43,13013.53163,2.014051522
Arkansas,1699,37,19182.56746,2.177751619
Arkansas,3212,48,24662.16216,1.494396015
Arkansas,1255,42,10237.37662,3.346613546
Arkansas,2253,25,10495.66757,1.109631602
Arkansas,7517,122,10253.85696,1.622987894
Arkansas,1463,23,8826.013514,1.572112098
Arkansas,1069,30,6403.498263,2.806361085
Arkansas,4414,38,10204.12881,0.860897145
Arkansas,5901,110,14516.24806,1.864090832
Arkansas,871,17,12998.05999,1.951779564
Arkansas,759,33,8446.47229,4.347826087
Arkansas,833,24,10094.52254,2.881152461
Arkansas,733,26,9454.404747,3.547066849
Arkansas,2359,63,10088.95732,2.670623145
Arkansas,847,10,8101.386896,1.180637544
Arkansas,1857,43,10443.14475,2.315562736
Arkansas,1017,22,9488.71058,2.163225172
Arkansas,3187,77,13545.56273,2.416065265
Arkansas,2012,74,10078.14065,3.677932406
Arkansas,8100,110,12642.02772,1.358024691
Arkansas,910,21,11287.52171,2.307692308
Arkansas,40002,668,10206.90922,1.669916504
Arkansas,2187,47,12178.4163,2.149062643
Arkansas,12214,172,9975.742627,1.408220075
Arkansas,945,14,9191.712868,1.481481481
Arkansas,719,18,9123.207715,2.503477051
Arkansas,15370,283,12024.06377,1.841249187
Arkansas,2805,24,16493.20868,0.855614973
Arkansas,1619,47,9282.192409,2.90302656
Arkansas,3612,44,14451.46835,1.218161683
Arkansas,996,30,7964.177195,3.012048193
Arkansas,2913,0,,0
Arkansas,4065,115,10508.76377,2.82902829
