state2,confirmed,deaths,incidenceRate,fatalityRate
Alabama,7161,111,12817.48376,1.55006284
Alabama,21674,311,9709.094493,1.434898957
Alabama,2340,59,9479.056955,2.521367521
Alabama,2665,64,11900.50906,2.401500938
Alabama,6889,139,11913.32619,2.017709392
Alabama,1236,42,12236.41224,3.398058252
Alabama,2220,71,11415.05553,3.198198198
Alabama,14641,324,12887.63699,2.212963595
Alabama,3687,124,11087.38798,3.363167887
Alabama,1865,45,7119.407543,2.412868633
Alabama,4438,115,9989.196003,2.591257323
Alabama,613,25,4869.330368,4.078303426
Alabama,3526,61,14926.76319,1.730005672
Alabama,1581,57,11945.59879,3.605313093
Alabama,1507,43,10107.31053,2.853351029
Alabama,5610,121,10717.97027,2.156862745
Alabama,6354,138,11502.32617,2.171860246
Alabama,1125,30,9322.94688,2.666666667
Alabama,1102,29,10334.80259,2.631578947
Alabama,4221,119,11393.02005,2.819237148
Alabama,1542,57,11196.63085,3.696498054
Alabama,9864,199,11775.37962,2.017437145
Alabama,4908,114,9981.290165,2.322738386
Alabama,3599,154,9675.771588,4.27896638
Alabama,8911,188,12460.67149,2.109751992
Alabama,10265,208,12640.22461,2.026302971
Alabama,3983,77,10872.7104,1.933216169
Alabama,14022,359,13711.03375,2.560262445
Alabama,2155,62,13219.2369,2.877030162
Alabama,4282,82,13653.46598,1.914992994
Alabama,2563,81,9756.00472,3.160358954
Alabama,931,34,11478.23943,3.651987111
Alabama,2256,78,15398.26633,3.457446809
Alabama,1936,43,11252.54287,2.22107438
Alabama,10723,285,10127.31154,2.657838292
Alabama,6872,112,13311.1223,1.629802095
Alabama,80436,1542,12213.68018,1.917052066
Alabama,1454,37,10532.41579,2.544704264
Alabama,9524,245,10270.78907,2.572448551
Alabama,3084,100,9367.027093,3.242542153
Alabama,16153,173,9816.946433,1.071008481
Alabama,10132,156,10243.13805,1.539676273
Alabama,1413,54,14528.06909,3.821656051
Alabama,1624,50,8988.266549,3.078817734
Alabama,35393,514,9491.055459,1.452264572
Alabama,2503,65,13269.3633,2.59688374
Alabama,3195,102,10754.31687,3.192488263
Alabama,12364,228,12776.15889,1.84406341
Alabama,41612,820,10070.42424,1.970585408
Alabama,1790,41,8633.579318,2.290502793
Alabama,24958,602,11019.66567,2.412052248
Alabama,14539,283,12148.33012,1.946488754
Alabama,0,0,,
Alabama,1084,26,12148.38059,2.398523985
Alabama,2360,62,11841.44506,2.627118644
Alabama,3135,77,9467.2948,2.456140351
Alabama,1849,43,8137.487897,2.325581395
Alabama,4519,41,7796.621866,0.907280372
Alabama,25446,254,11688.45486,0.99819225
Alabama,10089,247,11271.11449,2.448210923
Alabama,1056,32,8497.626137,3.03030303
Alabama,8393,181,10494.13589,2.156559037
Alabama,4091,154,10134.51582,3.764360792
Alabama,26072,457,12453.48809,1.752838294
Alabama,0,0,,
Alabama,7304,278,11498.55953,3.806133625
Alabama,1692,39,10363.83682,2.304964539
Alabama,1272,30,12262.60484,2.358490566
Alabama,2795,73,11828.68509,2.611806798
Alaska,369,3,11057.83638,0.81300813
Alaska,708,1,12566.56017,0.141242938
Alaska,30818,179,10700.69444,0.580829385
Alaska,3903,22,21228.10834,0.563668973
Alaska,0,0,0,
Alaska,198,0,4925.373134,0
Alaska,437,3,6473.115094,0.686498856
Alaska,245,0,9077.436087,0
Alaska,111,0,5293.276109,0
Alaska,230,2,4678.600488,0.869565217
Alaska,8041,43,8302.615412,0.534759358
Alaska,31,0,1225.296443,0
Alaska,1461,5,4569.337587,0.342231348
Alaska,4582,22,7804.728487,0.480139677
Alaska,663,2,4769.441047,0.301659125
Alaska,1126,6,8662.871211,0.53285968
Alaska,1311,4,15768.58311,0.305110603
Alaska,11764,57,10860.71438,0.484529072
Alaska,378,0,3778.488605,0
Alaska,1087,4,11055.73637,0.367985281
Alaska,621,2,8148.536937,0.322061192
Alaska,174,1,5327.617881,0.574712644
Alaska,158,1,2547.154603,0.632911392
Alaska,371,1,4368.303309,0.269541779
Alaska,21,0,1775.147929,0
Alaska,741,5,10750.03627,0.674763833
Alaska,291,0,,0
Alaska,0,0,0,
Alaska,58,0,2318.145484,0
Alaska,89,2,15371.32988,2.247191011
Alaska,368,4,7036.328872,1.086956522
Arizona,11409,432,15870.74158,3.786484354
Arizona,12081,289,9594.034402,2.392186077
Arizona,17868,330,12453.65078,1.846877099
Arizona,6939,229,12845.71809,3.300187347
