state,confirmed,deaths,incidenceRate,fatalityRate
Alabama,7244,113,12966.04557,1.559911651
Alabama,21921,314,9819.74072,1.432416404
Alabama,2344,60,9495.260472,2.559726962
Alabama,2686,64,11994.28418,2.382725242
Alabama,6957,139,12030.92035,1.997987638
Alabama,1246,42,12335.41234,3.370786517
Alabama,2250,71,11569.31304,3.155555556
Alabama,14725,329,12961.5774,2.234295416
Alabama,3731,124,11219.70289,3.323505763
Alabama,1875,45,7157.58131,2.4
Alabama,4476,116,10074.72765,2.591599643
Alabama,621,25,4932.877909,4.025764895
Alabama,3533,61,14956.39658,1.726577979
Alabama,1601,59,12096.71326,3.685196752
Alabama,1537,44,10308.51777,2.862719584
Alabama,5650,128,10794.39074,2.265486726
Alabama,6418,140,11618.18215,2.181364911
Alabama,1138,30,9430.678711,2.636203866
Alabama,1121,29,10512.98884,2.586975914
Alabama,4283,123,11560.366,2.871818819
Alabama,1561,57,11334.59193,3.651505445
Alabama,9975,201,11907.88845,2.015037594
Alabama,4931,116,10028.06475,2.352464003
Alabama,3609,158,9702.6562,4.377944029
Alabama,8978,190,12554.36075,2.11628425
Alabama,10302,214,12685.78606,2.07726655
Alabama,4023,80,10981.90156,1.988565747
Alabama,14192,364,13877.26366,2.564825254
Alabama,2197,63,13476.874,2.867546655
Alabama,4320,82,13774.63172,1.898148148
Alabama,2587,82,9847.360207,3.169694627
Alabama,937,34,11552.21304,3.628601921
Alabama,2270,78,15493.82295,3.436123348
Alabama,1948,44,11322.29003,2.258726899
Alabama,10798,289,10198.1451,2.67642156
Alabama,6993,113,13545.50033,1.615901616
Alabama,81085,1571,12312.22659,1.937473022
Alabama,1472,37,10662.80333,2.513586957
Alabama,9621,250,10375.39497,2.598482486
Alabama,3135,100,9521.929292,3.189792663
Alabama,16301,176,9906.893073,1.079688363
Alabama,10191,157,10302.78522,1.540575017
Alabama,1421,54,14610.32285,3.800140746
Alabama,1630,51,9021.47443,3.128834356
Alabama,35733,524,9582.230517,1.46643159
Alabama,2505,66,13279.96607,2.634730539
Alabama,3264,107,10986.56973,3.278186275
Alabama,12465,230,12880.52576,1.845166466
Alabama,42180,832,10207.88461,1.972498815
Alabama,1810,41,8730.043891,2.26519337
Alabama,25103,615,11083.68729,2.449906386
Alabama,14650,286,12241.07822,1.95221843
Alabama,0,0,,
Alabama,1088,26,12193.20856,2.389705882
Alabama,2370,62,11891.62067,2.616033755
Alabama,3148,78,9506.55312,2.477763659
Alabama,1877,44,8260.716486,2.344166223
Alabama,4552,41,7853.556702,0.900702988
Alabama,25638,255,11776.64881,0.994617365
Alabama,10166,251,11357.13647,2.469014362
Alabama,1060,32,8529.814114,3.018867925
Alabama,8467,184,10586.66133,2.17314279
Alabama,4137,155,10248.47029,3.746676336
Alabama,26186,460,12507.94106,1.756663866
Alabama,0,0,,
Alabama,7351,281,11572.55081,3.822609169
Alabama,1706,39,10449.58961,2.286049238
Alabama,1268,30,12224.04319,2.365930599
Alabama,2836,72,12002.20069,2.538787024
Alaska,369,3,11057.83638,0.81300813
Alaska,727,1,12903.79837,0.137551582
Alaska,31091,180,10795.48611,0.578945676
Alaska,3914,22,21287.93647,0.562084824
Alaska,0,0,0,
Alaska,203,0,5049.751244,0
Alaska,440,3,6517.552955,0.681818182
Alaska,254,0,9410.892923,0
Alaska,112,0,5340.963281,0
Alaska,233,2,4739.625712,0.858369099
Alaska,8082,44,8344.949354,0.544419698
Alaska,31,0,1225.296443,0
Alaska,1498,5,4685.056608,0.333778371
Alaska,4611,22,7854.125502,0.477119931
Alaska,672,2,4834.184591,0.297619048
Alaska,1129,6,8685.951685,0.531443756
Alaska,1371,4,16490.2574,0.291757841
Alaska,11854,59,10943.80384,0.497722288
Alaska,392,0,3918.432627,0
Alaska,1090,4,11086.24898,0.366972477
Alaska,625,2,8201.023488,0.32
Alaska,174,1,5327.617881,0.574712644
Alaska,182,1,2934.064163,0.549450549
Alaska,376,2,4427.175321,0.531914894
Alaska,22,0,1859.678783,0
Alaska,772,5,11199.76788,0.647668394
Alaska,290,0,,0
Alaska,0,0,0,
Alaska,67,0,2677.857714,0
Alaska,84,2,14507.77202,2.380952381
Alaska,370,4,7074.56979,1.081081081
Arizona,11467,432,15951.42376,3.767332345
Arizona,12180,292,9672.6545,2.397372742
Arizona,17949,329,12510.10622,1.832971196
Arizona,7062,229,13073.41997,3.242707448
Arizona,5593,84,14401.21534,1.501877347
Arizona,576,10,6064.434618,1.736111111
Arizona,2484,78,11768.05003,3.140096618
Arizona,558068,10243,12441.83926,1.835439409
Arizona,23561,749,11104.19877,3.178982216
Arizona,16616,551,14979.62569,3.316080886
Arizona,0,0,,
Arizona,117420,2422,11211.91201,2.062680974
Arizona,53773,903,11619.33408,1.679281424
Arizona,8076,180,17368.48897,2.228826152
Arizona,0,0,,
Arizona,19527,525,8305.862637,2.688585036
Arizona,37297,848,17445.86902,2.273641312
Arkansas,2201,38,12587.21263,1.72648796
Arkansas,2053,35,10444.1166,1.704822211
Arkansas,3347,104,7981.97081,3.107260233
Arkansas,29757,422,10660.20398,1.418153712
Arkansas,4006,80,10702.07309,1.997004493
Arkansas,1451,33,13481.37136,2.274293591
Arkansas,421,3,8113.316631,0.712589074
Arkansas,2857,46,10066.94856,1.610080504
Arkansas,1629,41,16100.01977,2.516881522
Arkansas,2186,41,9793.90681,1.875571821
Arkansas,1797,52,12349.66669,2.893711742
Arkansas,2059,74,8262.771379,3.593977659
Arkansas,985,25,12380.59326,2.538071066
Arkansas,2399,56,10227.22428,2.334305961
Arkansas,2260,34,10841.40842,1.504424779
Arkansas,13751,185,12463.29261,1.345356701
Arkansas,7214,120,11404.27146,1.663432215
Arkansas,6180,97,12887.08164,1.569579288
Arkansas,1980,50,12059.19971,2.525252525
Arkansas,769,16,10971.60793,2.080624187
Arkansas,1374,23,12094.00581,1.673944687
Arkansas,2055,45,11279.43356,2.189781022
Arkansas,13034,166,10343.86979,1.273592144
Arkansas,1713,40,9669.77138,2.335084647
Arkansas,1169,47,9369.2394,4.020530368
Arkansas,10478,264,10542.73238,2.519564802
Arkansas,1764,34,9657.815494,1.927437642
Arkansas,6231,78,13747.38003,1.251805489
Arkansas,2069,20,9608.954115,0.966650556
Arkansas,5294,76,15676.17186,1.435587457
Arkansas,1673,25,12672.32238,1.494321578
Arkansas,3910,124,10337.07865,3.171355499
Arkansas,1704,42,12502.75149,2.464788732
Arkansas,3252,38,19450.9241,1.168511685
Arkansas,9154,170,13698.67114,1.857111645
Arkansas,2966,38,11159.60569,1.281186784
Arkansas,558,9,8423.913043,1.612903226
Arkansas,2151,43,13111.05693,1.9990702
Arkansas,1706,37,19261.60099,2.168815944
Arkansas,3242,48,24892.50614,1.480567551
Arkansas,1271,43,10367.89298,3.383162864
Arkansas,2284,25,10640.08199,1.094570928
Arkansas,7678,124,10473.47529,1.615003907
Arkansas,1482,23,8940.637066,1.551956815
Arkansas,1108,30,6637.115131,2.707581227
Arkansas,4456,38,10301.22292,0.852782765
Arkansas,5921,110,14565.44734,1.857794292
Arkansas,884,18,13192.06089,2.036199095
Arkansas,762,33,8479.857556,4.330708661
Arkansas,880,24,10664.08143,2.727272727
Arkansas,753,26,9712.369405,3.452855246
Arkansas,2426,63,10375.50252,2.596867271
Arkansas,852,11,8149.210904,1.291079812
Arkansas,1868,44,10505.00506,2.355460385
Arkansas,1034,22,9647.322262,2.127659574
Arkansas,3198,77,13592.31554,2.407754847
Arkansas,2033,74,10183.32999,3.639940974
Arkansas,8147,110,12715.38269,1.350190254
Arkansas,915,22,11349.54106,2.404371585
Arkansas,40718,672,10389.60376,1.650375755
Arkansas,2209,47,12300.92438,2.127659574
Arkansas,12481,173,10193.81396,1.386106882
Arkansas,970,14,9434.879875,1.443298969
Arkansas,741,18,9402.360107,2.429149798
Arkansas,15525,286,12145.32141,1.842190016
Arkansas,2829,24,16634.32704,0.84835631
Arkansas,1640,47,9402.591446,2.865853659
Arkansas,3641,44,14567.4962,1.208459215
Arkansas,1089,31,8707.820246,2.846648301
Arkansas,2939,0,,0
Arkansas,4117,115,10643.19322,2.793296089
Arkansas,1377,24,8322.75612,1.74291939
Arkansas,31505,356,13171.70248,1.129979368
Arkansas,8309,123,10550.70918,1.480322542
Arkansas,652,14,10316.4557,2.147239264
Arkansas,3459,66,16208.23766,1.908065915
California,89891,1286,5378.414423,1.430621531
California,89,0,7883.082374,0
California,3743,47,9415.878446,1.255677264
California,12666,198,5778.653746,1.563240171
California,2210,56,4814.290382,2.533936652
California,2288,18,10618.64761,0.786713287
California,70882,813,6144.811647,1.146976665
California,1468,8,5278.297138,0.544959128
California,10423,117,5404.914879,1.122517509
California,103020,1724,10311.26983,1.673461464
California,2437,27,8583.101469,1.107919573
California,4528,49,3340.267635,1.082155477
California,28908,741,15952.32183,2.563304276
California,1434,38,7949.442874,2.649930265
California,110847,1405,12313.56962,1.267512878
California,23214,247,15178.50137,1.064013096
California,3566,53,5538.471096,1.486259114
California,5808,25,18997.15435,0.430440771
California,1248415,24472,12435.51842,1.960245591
California,16660,245,10589.40932,1.470588235
California,14212,230,5490.947586,1.61835069
California,466,7,2708.829855,1.502145923
California,4357,50,5022.536283,1.147578609
California,32325,481,11641.09767,1.488012374
California,564,5,6379.36885,0.886524823
California,1298,4,8986.430352,0.30816641
California,43858,456,10104.10979,1.039719093
California,10032,80,7283.075851,0.797448166
California,4936,75,4948.122901,1.519448947
California,273170,5116,8601.904719,1.872826445
California,23656,300,5938.809376,1.268177207
California,742,6,3945.339501,0.808625337
California,301799,4627,12215.88264,1.533139606
California,108013,1738,6959.340437,1.609065575
California,6111,63,9729.652274,1.030927835
California,299425,4886,13734.55622,1.631794272
California,282052,3778,8448.895106,1.339469318
California,37304,559,4231.642257,1.498498821
California,74808,1440,9815.416428,1.924927815
California,21448,261,7575.827149,1.21689668
California,42756,581,5577.550996,1.358873608
California,34631,455,7756.120394,1.313851751
California,120233,2103,6236.630198,1.828948791
California,16262,209,5952.132585,1.285204772
California,12615,235,7005.219902,1.862861673
California,118,0,3926.788686,0
California,2399,38,5510.002526,1.583993331
California,33797,267,7549.989612,0.790010948
California,31026,317,6276.297903,1.021723716
California,63586,1071,11547.23423,1.684333029
California,9676,113,9978.240917,1.16783795
California,5742,63,8822.444841,1.097178683
California,424,6,3451.363451,1.41509434
California,49823,850,10687.15881,1.706039379
California,4222,71,7749.917398,1.681667456
California,33,0,,0
California,81727,1032,9660.333378,1.262740588
California,14161,212,6422.222222,1.497069416
California,6521,51,8289.266284,0.782088637
Colorado,60733,714,11737.63724,1.175637627
Colorado,1717,37,10577.21924,2.154921374
Colorado,62584,763,9531.67121,1.219161447
Colorado,1022,2,7284.90983,0.195694716
Colorado,322,4,8991.901703,1.242236025
Colorado,1546,22,27720.99695,1.423027167
Colorado,23931,235,7336.386712,0.981989888
Colorado,4982,78,7070.176683,1.565636291
Colorado,1762,25,8655.924543,1.418842225
Colorado,130,6,7099.945385,4.615384615
Colorado,476,3,4907.216495,0.630252101
Colorado,734,18,8945.764778,2.452316076
Colorado,250,5,6431.695395,2
Colorado,2212,16,36495.62778,0.723327306
Colorado,224,2,4419.889503,0.892857143
Colorado,2915,65,9354.341827,2.229845626
Colorado,74188,842,10201.71587,1.13495444
Colorado,127,1,6180.048662,0.787401575
Colorado,30408,246,8659.448561,0.808997632
Colorado,6345,23,11509.78649,0.36249015
Colorado,72986,869,10131.27375,1.190639301
Colorado,1883,13,7044.78282,0.690387679
Colorado,6530,63,13649.95088,0.964777948
Colorado,6130,47,10206.29027,0.766721044
Colorado,281,3,4501.041166,1.067615658
Colorado,1504,7,9558.916995,0.465425532
Colorado,1382,6,7914.328256,0.434153401
Colorado,19,0,2317.073171,0
Colorado,433,17,6278.091924,3.926096998
Colorado,67,0,4813.218391,0
Colorado,48744,797,8362.598884,1.635073035
Colorado,95,3,6756.756757,3.157894737
Colorado,644,11,9074.256728,1.708074534
Colorado,4119,41,7326.443855,0.99538723
Colorado,834,0,10262.08933,0
Colorado,27599,248,7733.000092,0.898583282
Colorado,1167,14,8044.946919,1.199657241
Colorado,1033,4,18119.62814,0.387221684
Colorado,4050,69,18073.09563,1.703703704
Colorado,16907,247,10963.62104,1.460933341
Colorado,93,1,12093.62809,1.075268817
Colorado,985,24,7415.493488,2.436548223
Colorado,2082,25,7951.724401,1.200768492
Colorado,3710,64,8676.738856,1.725067385
Colorado,2735,96,9408.972066,3.510054845
Colorado,2083,68,11396.21403,3.264522324
Colorado,291,3,5876.41357,1.030927835
Colorado,0,0,,
Colorado,828,5,4393.738392,0.603864734
Colorado,398,13,9331.770223,3.266331658
Colorado,2608,4,14678.89908,0.153374233
Colorado,1277,22,10491.29149,1.722787784
Colorado,19537,418,11599.89075,2.139530122
Colorado,610,5,9645.793801,0.819672131
Colorado,895,16,7943.551966,1.787709497
Colorado,2277,21,8881.347999,0.92226614
Colorado,436,5,6389.214537,1.146788991
Colorado,47,0,6456.043956,0
Colorado,920,1,11248.31887,0.108695652
Colorado,236,3,10498.22064,1.271186441
Colorado,3755,8,12108.60662,0.213049268
