state,confirmed,deaths,incidenceRate,fatalityRate
Alabama,7229,113,12939.19705,1.56314843
Alabama,21805,313,9767.77731,1.435450585
Alabama,2345,59,9499.311351,2.515991471
Alabama,2676,64,11949.62937,2.391629297
Alabama,6937,139,11996.33383,2.003748018
Alabama,1242,42,12295.8123,3.381642512
Alabama,2237,71,11502.46812,3.173893608
Alabama,14710,325,12948.37375,2.209381373
Alabama,3723,123,11195.64564,3.303787268
Alabama,1872,45,7146.12918,2.403846154
Alabama,4470,116,10061.22265,2.5950783
Alabama,617,25,4901.104139,4.051863857
Alabama,3528,61,14935.22987,1.729024943
Alabama,1601,59,12096.71326,3.685196752
Alabama,1531,44,10268.27632,2.873938602
Alabama,5622,126,10740.89641,2.241195304
Alabama,6406,139,11596.45915,2.169840774
Alabama,1132,30,9380.956327,2.650176678
Alabama,1114,29,10447.34127,2.603231598
Alabama,4267,122,11517.17995,2.859151629
Alabama,1551,57,11261.98083,3.675048356
Alabama,9928,200,11851.78111,2.014504432
Alabama,4929,114,10023.9974,2.312842362
Alabama,3606,156,9694.590816,4.326123128
Alabama,8963,189,12533.38554,2.108668972
Alabama,10292,212,12673.47215,2.059852312
Alabama,4011,80,10949.14421,1.994515084
Alabama,14160,362,13845.97332,2.556497175
Alabama,2177,62,13354.18967,2.847955903
Alabama,4307,83,13733.18028,1.927095426
Alabama,2570,81,9782.65007,3.151750973
Alabama,934,34,11515.22624,3.640256959
Alabama,2266,78,15466.52106,3.442188879
Alabama,1937,43,11258.35513,2.219927723
Alabama,10757,288,10159.42275,2.677326392
Alabama,6905,113,13375.04358,1.636495293
Alabama,80914,1565,12286.26136,1.93415231
Alabama,1462,37,10590.36581,2.530779754
Alabama,9591,248,10343.04263,2.585757481
Alabama,3124,100,9488.519013,3.201024328
Alabama,16248,175,9874.682452,1.077055638
Alabama,10179,157,10290.65359,1.542391198
Alabama,1420,53,14600.04113,3.732394366
Alabama,1629,51,9015.939783,3.130755064
Alabama,35629,523,9554.341676,1.467905358
Alabama,2506,65,13285.26745,2.59377494
Alabama,3237,106,10895.68818,3.27463701
Alabama,12446,230,12860.89239,1.847983288
Alabama,41984,826,10160.4511,1.967416159
Alabama,1791,41,8638.402547,2.289223897
Alabama,25075,611,11071.3245,2.43668993
Alabama,14618,285,12214.34003,1.949651115
Alabama,0,0,,
Alabama,1087,26,12182.00157,2.391904324
Alabama,2366,62,11871.55043,2.620456467
Alabama,3139,78,9479.374283,2.484867792
Alabama,1869,44,8225.508318,2.354200107
Alabama,4545,41,7841.479616,0.902090209
Alabama,25580,254,11750.00689,0.992963253
Alabama,10155,250,11344.84762,2.461841457
Alabama,1057,32,8505.673131,3.02743614
Alabama,8455,184,10571.65721,2.176227085
Alabama,4127,154,10223.69757,3.73152411
Alabama,26147,458,12489.31241,1.751634987
Alabama,0,0,,
Alabama,7330,280,11539.49088,3.819918145
Alabama,1704,39,10437.33921,2.288732394
Alabama,1270,30,12243.32401,2.362204724
Alabama,2832,72,11985.27233,2.542372881
Alaska,369,3,11057.83638,0.81300813
Alaska,712,1,12637.55769,0.140449438
Alaska,30941,179,10743.40278,0.57852041
Alaska,3909,22,21260.74187,0.562803786
Alaska,0,0,0,
Alaska,202,0,5024.875622,0
Alaska,438,3,6487.927714,0.684931507
Alaska,249,0,9225.639126,0
Alaska,112,0,5340.963281,0
Alaska,233,2,4739.625712,0.858369099
Alaska,8064,44,8326.363721,0.545634921
Alaska,31,0,1225.296443,0
Alaska,1490,5,4660.036279,0.33557047
Alaska,4601,22,7837.092049,0.478156922
Alaska,672,2,4834.184591,0.297619048
Alaska,1128,6,8678.258194,0.531914894
Alaska,1325,4,15936.97378,0.301886792
Alaska,11812,59,10905.02876,0.499492042
Alaska,393,0,3928.428629,0
Alaska,1090,4,11086.24898,0.366972477
Alaska,624,2,8187.90185,0.320512821
Alaska,174,1,5327.617881,0.574712644
Alaska,176,1,2837.336773,0.568181818
Alaska,374,2,4403.626516,0.534759358
Alaska,21,0,1775.147929,0
Alaska,765,5,11098.21558,0.653594771
Alaska,289,0,,0
Alaska,0,0,0,
Alaska,64,0,2557.953637,0
Alaska,90,2,15544.04145,2.222222222
Alaska,369,4,7055.449331,1.08401084
Arizona,11449,433,15926.38446,3.781989693
Arizona,12130,292,9632.94738,2.40725474
Arizona,17909,330,12482.22699,1.842648947
Arizona,7016,229,12988.26317,3.263968073
Arizona,5598,84,14414.08966,1.500535906
Arizona,576,10,6064.434618,1.736111111
Arizona,2480,80,11749.09987,3.225806452
Arizona,554925,10157,12371.76769,1.830337433
Arizona,23328,744,10994.38687,3.189300412
Arizona,16504,544,14878.65566,3.296170625
Arizona,0,0,,
Arizona,117021,2416,11173.81328,2.064586698
Arizona,53437,905,11546.7308,1.693583098
Arizona,8062,180,17338.38015,2.232696601
Arizona,0,0,,
Arizona,19433,519,8265.879481,2.670714764
Arizona,37278,845,17436.98167,2.266752508
Arkansas,2157,38,12335.58275,1.761706073
Arkansas,2046,35,10408.50588,1.710654936
Arkansas,3234,104,7712.486884,3.215831787
Arkansas,29568,422,10592.49627,1.427218615
Arkansas,3925,80,10485.6807,2.038216561
Arkansas,1445,32,13425.62483,2.214532872
Arkansas,416,3,8016.958952,0.721153846
Arkansas,2831,46,9975.334743,1.624867538
Arkansas,1624,41,16050.60289,2.524630542
Arkansas,2146,41,9614.695341,1.910531221
Arkansas,1794,52,12329.04955,2.898550725
Arkansas,2036,74,8170.47233,3.634577603
Arkansas,975,25,12254.90196,2.564102564
Arkansas,2375,56,10124.90941,2.357894737
Arkansas,2253,33,10807.82884,1.464713715
Arkansas,13692,184,12409.81764,1.343850424
Arkansas,7180,119,11350.52247,1.657381616
Arkansas,6168,97,12862.05818,1.572632944
Arkansas,1975,50,12028.74718,2.53164557
Arkansas,765,15,10914.53845,1.960784314
Arkansas,1372,23,12076.40173,1.67638484
Arkansas,2031,45,11147.70295,2.215657312
Arkansas,12913,164,10247.84337,1.270037946
Arkansas,1710,40,9652.836579,2.339181287
Arkansas,1154,47,9249.018193,4.072790295
Arkansas,10402,263,10466.26285,2.528359931
Arkansas,1726,33,9449.767315,1.91193511
Arkansas,6201,77,13681.1914,1.241735204
Arkansas,2047,20,9506.780606,0.97703957
Arkansas,5237,74,15507.388,1.413022723
Arkansas,1668,25,12634.44933,1.498800959
Arkansas,3850,124,10178.4534,3.220779221
Arkansas,1693,42,12422.04124,2.480803308
Arkansas,3236,38,19355.22459,1.174289246
Arkansas,9052,170,13546.03137,1.878038003
Arkansas,2954,38,11114.45556,1.286391334
Arkansas,556,9,8393.719807,1.618705036
Arkansas,2139,43,13037.91296,2.01028518
Arkansas,1703,37,19227.72948,2.172636524
Arkansas,3220,48,24723.58722,1.49068323
Arkansas,1259,42,10270.00571,3.335980937
Arkansas,2269,25,10570.20404,1.101806963
Arkansas,7574,123,10331.61003,1.623976763
Arkansas,1471,23,8874.276062,1.563562203
Arkansas,1081,30,6475.380376,2.775208141
Arkansas,4429,38,10238.80528,0.857981486
Arkansas,5913,110,14545.76763,1.860307796
Arkansas,877,17,13087.59887,1.938426454
Arkansas,761,33,8468.729134,4.336399474
Arkansas,847,24,10264.17838,2.833530106
Arkansas,736,26,9493.099445,3.532608696
Arkansas,2385,63,10200.15396,2.641509434
Arkansas,847,10,8101.386896,1.180637544
Arkansas,1865,43,10488.13407,2.305630027
Arkansas,1022,22,9535.361075,2.152641879
Arkansas,3191,77,13562.56375,2.413036666
Arkansas,2021,74,10123.2218,3.661553686
Arkansas,8115,110,12665.43888,1.355514479
Arkansas,912,22,11312.32945,2.412280702
Arkansas,40257,670,10271.97501,1.664306829
Arkansas,2196,47,12228.53324,2.140255009
Arkansas,12312,173,10055.78379,1.405133203
Arkansas,954,14,9279.252991,1.467505241
Arkansas,725,18,9199.340185,2.482758621
Arkansas,15441,284,12079.60759,1.839259115
Arkansas,2821,24,16587.28759,0.850762141
Arkansas,1631,47,9350.991859,2.881667689
Arkansas,3625,44,14503.48084,1.213793103
Arkansas,1017,30,8132.096594,2.949852507
Arkansas,2928,0,,0
Arkansas,4091,115,10575.97849,2.811048643
Arkansas,1368,24,8268.359021,1.754385965
Arkansas,31344,352,13104.39112,1.12302195
Arkansas,8208,122,10422.4601,1.486354776
Arkansas,652,14,10316.4557,2.147239264
Arkansas,3453,66,16180.12277,1.911381407
California,89340,1285,5351.908571,1.438325498
California,89,0,7883.082374,0
California,3721,47,9360.535319,1.263101317
California,12586,194,5742.155065,1.541395201
California,2201,56,4794.684675,2.544298046
California,2279,18,10576.87845,0.789820097
California,70358,810,6099.38571,1.15125501
California,1452,8,5220.768014,0.550964187
California,10351,116,5367.578808,1.12066467
California,102795,1720,10288.74959,1.673233134
California,2425,27,8540.83753,1.113402062
California,4434,46,3270.924623,1.037437979
California,28800,741,15892.72411,2.572916667
California,1434,38,7949.442874,2.649930265
California,110617,1400,12288.0198,1.265628249
California,23170,247,15149.73192,1.066033664
California,3556,45,5522.93977,1.265466817
California,5775,24,18889.21597,0.415584416
California,1246436,24433,12415.80551,1.960229005
California,16590,245,10544.916,1.476793249
California,14184,229,5480.129508,1.614495206
California,464,7,2697.203976,1.50862069
California,4282,50,4936.079955,1.167678655
California,32272,474,11622.01095,1.468765493
California,534,4,6040.040719,0.74906367
California,1295,4,8965.660482,0.308880309
California,43804,420,10091.66914,0.958816546
California,9995,80,7256.214427,0.8004002
California,4883,75,4894.992732,1.53594102
California,272745,5103,8588.521809,1.870978386
California,23383,299,5870.273066,1.278706753
California,735,6,3908.119317,0.816326531
California,301329,4620,12196.85851,1.533207889
California,107395,1723,6919.522337,1.604357745
California,6102,63,9715.322889,1.032448378
California,299014,4788,13715.70375,1.601262817
California,281313,3770,8426.758289,1.340144252
California,37197,555,4219.504531,1.492055811
California,74419,1432,9764.376473,1.924239777
California,21411,261,7562.75807,1.21899958
California,42611,581,5558.635642,1.363497688
California,34577,460,7744.026302,1.330364115
California,119946,2085,6221.743163,1.814983409
California,16206,208,5931.635757,1.283475256
California,12599,232,6996.334962,1.841415985
California,113,0,3760.399334,0
California,2390,37,5489.331404,1.548117155
California,33625,266,7511.566136,0.791078067
California,30688,323,6207.923356,1.052528676
California,63266,1068,11489.12214,1.688110517
California,9628,112,9928.741583,1.163273785
California,5716,63,8782.496466,1.102169349
California,417,5,3394.383394,1.199040767
California,49758,849,10673.21614,1.70625829
California,4199,70,7707.698521,1.667063587
California,37,0,,0
California,81572,1028,9642.011995,1.260236356
California,14120,212,6403.628118,1.501416431
California,6461,50,8212.99639,0.773874013
Colorado,60397,711,11672.69979,1.177210789
Colorado,1711,36,10540.2575,2.104032729
Colorado,62199,751,9473.034923,1.20741491
Colorado,1008,2,7185.116544,0.198412698
Colorado,319,4,8908.126222,1.253918495
Colorado,1545,22,27703.06616,1.42394822
Colorado,23861,235,7314.927222,0.98487071
Colorado,4950,77,7024.764067,1.555555556
Colorado,1747,25,8582.236196,1.431024614
Colorado,130,6,7099.945385,4.615384615
Colorado,471,3,4855.670103,0.636942675
Colorado,703,17,8567.946374,2.418207681
Colorado,249,4,6405.968613,1.606425703
Colorado,2210,16,36462.62993,0.7239819
Colorado,220,2,4340.962904,0.909090909
