state,confirmed,deaths,incidenceRate,fatalityRate
Alabama,7244,113,12966.04557,1.559911651
Alabama,21921,314,9819.74072,1.432416404
Alabama,2344,60,9495.260472,2.559726962
Alabama,2686,64,11994.28418,2.382725242
Alabama,6957,139,12030.92035,1.997987638
Alabama,1246,42,12335.41234,3.370786517
Alabama,2250,71,11569.31304,3.155555556
Alabama,14725,329,12961.5774,2.234295416
Alabama,3731,124,11219.70289,3.323505763
Alabama,1875,45,7157.58131,2.4
Alabama,4476,116,10074.72765,2.591599643
Alabama,621,25,4932.877909,4.025764895
Alabama,3533,61,14956.39658,1.726577979
Alabama,1601,59,12096.71326,3.685196752
Alabama,1537,44,10308.51777,2.862719584
Alabama,5650,128,10794.39074,2.265486726
Alabama,6418,140,11618.18215,2.181364911
Alabama,1138,30,9430.678711,2.636203866
Alabama,1121,29,10512.98884,2.586975914
Alabama,4283,123,11560.366,2.871818819
Alabama,1561,57,11334.59193,3.651505445
Alabama,9975,201,11907.88845,2.015037594
Alabama,4931,116,10028.06475,2.352464003
Alabama,3609,158,9702.6562,4.377944029
Alabama,8978,190,12554.36075,2.11628425
Alabama,10302,214,12685.78606,2.07726655
Alabama,4023,80,10981.90156,1.988565747
Alabama,14192,364,13877.26366,2.564825254
Alabama,2197,63,13476.874,2.867546655
Alabama,4320,82,13774.63172,1.898148148
Alabama,2587,82,9847.360207,3.169694627
Alabama,937,34,11552.21304,3.628601921
Alabama,2270,78,15493.82295,3.436123348
Alabama,1948,44,11322.29003,2.258726899
Alabama,10798,289,10198.1451,2.67642156
Alabama,6993,113,13545.50033,1.615901616
Alabama,81085,1571,12312.22659,1.937473022
Alabama,1472,37,10662.80333,2.513586957
Alabama,9621,250,10375.39497,2.598482486
Alabama,3135,100,9521.929292,3.189792663
Alabama,16301,176,9906.893073,1.079688363
Alabama,10191,157,10302.78522,1.540575017
Alabama,1421,54,14610.32285,3.800140746
Alabama,1630,51,9021.47443,3.128834356
Alabama,35733,524,9582.230517,1.46643159
Alabama,2505,66,13279.96607,2.634730539
Alabama,3264,107,10986.56973,3.278186275
Alabama,12465,230,12880.52576,1.845166466
Alabama,42180,832,10207.88461,1.972498815
Alabama,1810,41,8730.043891,2.26519337
Alabama,25103,615,11083.68729,2.449906386
Alabama,14650,286,12241.07822,1.95221843
Alabama,0,0,,
Alabama,1088,26,12193.20856,2.389705882
Alabama,2370,62,11891.62067,2.616033755
Alabama,3148,78,9506.55312,2.477763659
Alabama,1877,44,8260.716486,2.344166223
Alabama,4552,41,7853.556702,0.900702988
Alabama,25638,255,11776.64881,0.994617365
Alabama,10166,251,11357.13647,2.469014362
Alabama,1060,32,8529.814114,3.018867925
Alabama,8467,184,10586.66133,2.17314279
Alabama,4137,155,10248.47029,3.746676336
Alabama,26186,460,12507.94106,1.756663866
Alabama,0,0,,
Alabama,7351,281,11572.55081,3.822609169
Alabama,1706,39,10449.58961,2.286049238
Alabama,1268,30,12224.04319,2.365930599
Alabama,2836,72,12002.20069,2.538787024
Alaska,369,3,11057.83638,0.81300813
Alaska,727,1,12903.79837,0.137551582
Alaska,31091,180,10795.48611,0.578945676
Alaska,3914,22,21287.93647,0.562084824
Alaska,0,0,0,
Alaska,203,0,5049.751244,0
Alaska,440,3,6517.552955,0.681818182
Alaska,254,0,9410.892923,0
Alaska,112,0,5340.963281,0
Alaska,233,2,4739.625712,0.858369099
Alaska,8082,44,8344.949354,0.544419698
Alaska,31,0,1225.296443,0
Alaska,1498,5,4685.056608,0.333778371
Alaska,4611,22,7854.125502,0.477119931
Alaska,672,2,4834.184591,0.297619048
Alaska,1129,6,8685.951685,0.531443756
Alaska,1371,4,16490.2574,0.291757841
Alaska,11854,59,10943.80384,0.497722288
Alaska,392,0,3918.432627,0
Alaska,1090,4,11086.24898,0.366972477
Alaska,625,2,8201.023488,0.32
Alaska,174,1,5327.617881,0.574712644
Alaska,182,1,2934.064163,0.549450549
Alaska,376,2,4427.175321,0.531914894
Alaska,22,0,1859.678783,0
Alaska,772,5,11199.76788,0.647668394
Alaska,290,0,,0
Alaska,0,0,0,
Alaska,67,0,2677.857714,0
Alaska,84,2,14507.77202,2.380952381
Alaska,370,4,7074.56979,1.081081081
Arizona,11456,432,15936.12197,3.770949721
Arizona,12179,292,9671.860358,2.397569587
Arizona,17940,329,12503.83339,1.833890747
Arizona,7047,229,13045.65145,3.249609763
Arizona,5592,84,14398.64047,1.502145923
Arizona,576,10,6064.434618,1.736111111
Arizona,2480,78,11749.09987,3.14516129
Arizona,557651,10238,12432.54246,1.835915295
Arizona,23523,749,11086.28954,3.184117672
Arizona,16611,551,14975.1181,3.317079044
Arizona,0,0,,
Arizona,117374,2421,11207.51968,2.062637381
Arizona,53717,903,11607.23353,1.681032076
Arizona,8074,180,17364.18771,2.229378251
Arizona,0,0,,
Arizona,19509,524,8298.206288,2.685939823
Arizona,37294,848,17444.46575,2.273824208
Arkansas,2190,38,12524.30516,1.735159817
Arkansas,2051,35,10433.94211,1.706484642
Arkansas,3323,104,7924.735286,3.129702076
Arkansas,29731,422,10650.88969,1.419393899
Arkansas,3990,80,10659.32892,2.005012531
Arkansas,1451,33,13481.37136,2.274293591
Arkansas,420,3,8094.045095,0.714285714
Arkansas,2853,46,10052.85412,1.61233789
Arkansas,1629,41,16100.01977,2.516881522
Arkansas,2179,41,9762.544803,1.881597063
Arkansas,1797,52,12349.66669,2.893711742
Arkansas,2058,74,8258.758377,3.595724004
Arkansas,986,25,12393.16239,2.535496957
Arkansas,2398,56,10222.96116,2.335279399
Arkansas,2259,34,10836.61134,1.505090748
Arkansas,13740,184,12453.3227,1.33915575
Arkansas,7214,120,11404.27146,1.663432215
Arkansas,6175,97,12876.6552,1.570850202
Arkansas,1980,50,12059.19971,2.525252525
Arkansas,769,16,10971.60793,2.080624187
Arkansas,1374,23,12094.00581,1.673944687
Arkansas,2054,45,11273.94478,2.190847128
Arkansas,13014,166,10327.99765,1.275549408
Arkansas,1713,40,9669.77138,2.335084647
Arkansas,1168,47,9361.224653,4.023972603
Arkansas,10471,264,10535.68913,2.521249164
Arkansas,1757,34,9619.490829,1.935116676
Arkansas,6225,78,13734.14231,1.253012048
Arkansas,2069,20,9608.954115,0.966650556
Arkansas,5289,76,15661.36626,1.436944602
Arkansas,1672,25,12664.74777,1.495215311
Arkansas,3897,124,10302.70985,3.181934822
Arkansas,1701,42,12480.7396,2.469135802
Arkansas,3250,38,19438.96166,1.169230769
Arkansas,9128,170,13659.76296,1.862401402
Arkansas,2965,38,11155.84318,1.281618887
Arkansas,558,9,8423.913043,1.612903226
Arkansas,2149,43,13098.86627,2.000930665
Arkansas,1704,37,19239.01998,2.171361502
Arkansas,3240,48,24877.14988,1.481481481
Arkansas,1270,43,10359.7357,3.385826772
Arkansas,2284,25,10640.08199,1.094570928
Arkansas,7670,124,10462.56258,1.616688396
Arkansas,1480,23,8928.571429,1.554054054
Arkansas,1107,30,6631.124955,2.7100271
Arkansas,4455,38,10298.91116,0.852974186
Arkansas,5921,110,14565.44734,1.857794292
Arkansas,882,18,13162.21459,2.040816327
Arkansas,762,33,8479.857556,4.330708661
Arkansas,879,24,10651.96316,2.730375427
Arkansas,751,26,9686.57294,3.462050599
Arkansas,2423,63,10362.67214,2.600082542
Arkansas,852,11,8149.210904,1.291079812
Arkansas,1868,44,10505.00506,2.355460385
Arkansas,1031,22,9619.331965,2.13385063
Arkansas,3195,77,13579.56477,2.410015649
Arkansas,2030,74,10168.30295,3.645320197
Arkansas,8140,110,12704.45749,1.351351351
Arkansas,914,22,11337.13719,2.407002188
Arkansas,40662,672,10375.3148,1.652648665
Arkansas,2209,47,12300.92438,2.127659574
Arkansas,12460,173,10176.66228,1.388443018
Arkansas,968,14,9415.426515,1.446280992
Arkansas,731,18,9275.472656,2.462380301
Arkansas,15513,286,12135.93372,1.843615033
Arkansas,2829,24,16634.32704,0.84835631
Arkansas,1638,47,9391.124871,2.869352869
Arkansas,3639,44,14559.49428,1.209123386
Arkansas,1082,30,8651.847113,2.772643253
Arkansas,2948,0,,0
Arkansas,4115,115,10638.02285,2.794653706
Arkansas,1374,24,8304.623753,1.746724891
Arkansas,31492,355,13166.2674,1.127270418
Arkansas,8295,123,10532.93208,1.482820976
Arkansas,652,14,10316.4557,2.147239264
Arkansas,3457,66,16198.86603,1.9091698
California,89819,1280,5374.106475,1.425088233
California,89,0,7883.082374,0
California,3743,47,9415.878446,1.255677264
California,12662,198,5776.828812,1.563734007
California,2209,56,4812.11197,2.535083748
California,2288,18,10618.64761,0.786713287
California,70818,813,6139.263441,1.148013217
California,1465,8,5267.510427,0.546075085
California,10415,117,5400.766427,1.123379741
California,102996,1724,10308.86767,1.673851412
California,2435,27,8576.057479,1.108829569
California,4514,49,3329.939952,1.085511741
California,28880,741,15936.87057,2.565789474
California,1434,38,7949.442874,2.649930265
California,110847,1405,12313.56962,1.267512878
California,23209,247,15175.23212,1.06424232
California,3564,45,5535.364831,1.262626263
California,5799,25,18967.71661,0.431108812
California,1248161,24461,12432.98831,1.959763204
California,16652,245,10584.32437,1.471294739
California,14207,230,5489.015787,1.618920251
California,465,7,2703.016916,1.505376344
California,4351,50,5015.619777,1.149161112
California,32317,481,11638.21665,1.488380728
California,563,5,6368.057912,0.888099467
California,1298,4,8986.430352,0.30816641
California,43842,432,10100.42367,0.985356507
California,10029,80,7280.897898,0.797686709
California,4932,75,4944.113077,1.520681265
California,273128,5114,8600.582172,1.87238218
California,23633,300,5933.035255,1.269411416
California,737,6,3918.753656,0.814111262
California,301799,4627,12215.88264,1.533139606
California,107913,1737,6952.897379,1.60962998
California,6111,63,9729.652274,1.030927835
California,299372,4873,13732.12512,1.627740737
California,281936,3777,8445.420315,1.33966574
California,37287,556,4229.713833,1.491136321
California,74808,1440,9815.416428,1.924927815
California,21448,261,7575.827149,1.21689668
California,42725,581,5573.507024,1.359859567
California,34624,455,7754.552642,1.314117375
California,120194,2098,6234.607221,1.82455031
California,16246,209,5946.276348,1.286470516
California,12616,235,7005.775211,1.862714014
California,117,0,3893.510815,0
California,2398,37,5507.705735,1.54295246
California,33797,267,7549.989612,0.790010948
California,30974,317,6265.778742,1.023439013
California,63558,1070,11542.14942,1.683501684
California,9672,113,9974.115973,1.168320926
California,5739,63,8817.835413,1.097752222
California,424,6,3451.363451,1.41509434
California,49808,850,10683.94127,1.706553164
California,4219,71,7744.410588,1.682863238
California,34,0,,0
California,81727,1032,9660.333378,1.262740588
California,14157,212,6420.408163,1.497492407
California,6519,51,8286.723954,0.782328578
Colorado,60688,712,11728.94026,1.173213815
Colorado,1716,37,10571.05895,2.156177156
Colorado,62529,757,9523.294598,1.210638264
Colorado,1022,2,7284.90983,0.195694716
Colorado,322,4,8991.901703,1.242236025
Colorado,1544,22,27685.13538,1.424870466
Colorado,23914,235,7331.175122,0.982687965
Colorado,4975,78,7060.242674,1.567839196
Colorado,1760,25,8646.09943,1.420454545
Colorado,130,6,7099.945385,4.615384615
Colorado,475,3,4896.907216,0.631578947
Colorado,731,18,8909.201706,2.462380301
Colorado,250,5,6431.695395,2
Colorado,2211,16,36479.12886,0.723654455
Colorado,224,2,4419.889503,0.892857143
Colorado,2904,64,9319.042423,2.203856749
Colorado,74143,841,10195.52785,1.134294539
Colorado,128,1,6228.710462,0.78125
Colorado,30383,247,8652.329178,0.812954613
Colorado,6345,23,11509.78649,0.36249015
Colorado,72889,869,10117.80906,1.192223792
Colorado,1882,13,7041.041565,0.690754516
Colorado,6527,63,13643.67984,0.965221388
Colorado,6119,47,10187.97556,0.768099363
Colorado,280,3,4485.023226,1.071428571
Colorado,1504,7,9558.916995,0.465425532
Colorado,1381,6,7908.601535,0.434467777
Colorado,18,0,2195.121951,0
Colorado,433,17,6278.091924,3.926096998
Colorado,67,0,4813.218391,0
Colorado,48711,797,8356.937351,1.636180739
Colorado,95,3,6756.756757,3.157894737
Colorado,643,11,9060.166267,1.710730949
Colorado,4114,41,7317.550382,0.996596986
Colorado,829,0,10200.56601,0
Colorado,27555,248,7720.671675,0.900018146
Colorado,1167,14,8044.946919,1.199657241
Colorado,1033,4,18119.62814,0.387221684
Colorado,4047,69,18059.70815,1.704966642
Colorado,16828,246,10912.39219,1.461849299
Colorado,93,1,12093.62809,1.075268817
Colorado,969,24,7295.038771,2.476780186
Colorado,2076,25,7928.808769,1.204238921
Colorado,3700,64,8653.35142,1.72972973
Colorado,2732,96,9398.651438,3.513909224
Colorado,2083,68,11396.21403,3.264522324
Colorado,291,3,5876.41357,1.030927835
Colorado,0,0,,
Colorado,828,5,4393.738392,0.603864734
Colorado,398,13,9331.770223,3.266331658
Colorado,2607,4,14673.27067,0.153433065
Colorado,1276,22,10483.07591,1.724137931
Colorado,19521,417,11590.39092,2.136161057
Colorado,608,5,9614.168248,0.822368421
Colorado,894,16,7934.676489,1.789709172
Colorado,2275,21,8873.547079,0.923076923
Colorado,435,5,6374.560375,1.149425287
Colorado,47,0,6456.043956,0
Colorado,919,1,11236.09243,0.108813928
Colorado,236,3,10498.22064,1.271186441
Colorado,3755,8,12108.60662,0.213049268
